module_code,course_name,course_provider,course_level,module_name,difficulty_level,keywords,link
DE0001,Expert DevOps Course,Pluralsight,Expert,Introduction to Expert DevOps Course,Easy,"devops, automation, CI/CD, infrastructure",https://pluralsight.com/devops/expert
MO0002,Expert Mobile App Development Course,Udemy,Expert,Advanced Topics in Expert Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://udemy.com/mobile-app-development/expert
CY0003,Intermediate Cybersecurity Course,Coursera,Intermediate,Advanced Topics in Intermediate Cybersecurity Course,Hard,"cybersecurity, information security, encryption",https://coursera.com/cybersecurity/intermediate
IO0004,Beginner IoT Course,Udemy,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://udemy.com/iot/beginner
SO0005,Expert Software Engineering Course,edX,Expert,Intermediate Concepts in Expert Software Engineering Course,Medium,"software engineering, programming, coding, development",https://edx.com/software-engineering/expert
DA0006,Expert Data Science Course,LinkedIn Learning,Expert,Advanced Topics in Expert Data Science Course,Hard,"data science, big data, analysis, statistics",https://linkedinlearning.com/data-science/expert
CY0007,Intermediate Cybersecurity Course,Pluralsight,Intermediate,Advanced Topics in Intermediate Cybersecurity Course,Hard,"cybersecurity, information security, encryption",https://pluralsight.com/cybersecurity/intermediate
DE0008,Intermediate DevOps Course,Udemy,Intermediate,Introduction to Intermediate DevOps Course,Easy,"devops, automation, CI/CD, infrastructure",https://udemy.com/devops/intermediate
SO0009,Intermediate Software Engineering Course,Coursera,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://coursera.com/software-engineering/intermediate
CL0010,Intermediate Cloud Computing Course,Udemy,Intermediate,Intermediate Concepts in Intermediate Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://udemy.com/cloud-computing/intermediate
DA0011,Intermediate Data Science Course,Google Developers,Intermediate,Advanced Topics in Intermediate Data Science Course,Hard,"data science, big data, analysis, statistics",https://googledevelopers.com/data-science/intermediate
CL0012,Beginner Cloud Computing Course,LinkedIn Learning,Beginner,Intermediate Concepts in Beginner Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://linkedinlearning.com/cloud-computing/beginner
MO0013,Expert Mobile App Development Course,edX,Expert,Intermediate Concepts in Expert Mobile App Development Course,Medium,"mobile app development, Android, iOS, Flutter",https://edx.com/mobile-app-development/expert
DA0014,Intermediate Data Science Course,Pluralsight,Intermediate,Introduction to Intermediate Data Science Course,Easy,"data science, big data, analysis, statistics",https://pluralsight.com/data-science/intermediate
IO0015,Intermediate IoT Course,Coursera,Intermediate,Intermediate Concepts in Intermediate IoT Course,Medium,"IoT, internet of things, smart devices",https://coursera.com/iot/intermediate
MO0016,Beginner Mobile App Development Course,Coursera,Beginner,Advanced Topics in Beginner Mobile App Development Course,Hard,"mobile app development, Android, iOS, Flutter",https://coursera.com/mobile-app-development/beginner
IO0017,Expert IoT Course,Pluralsight,Expert,Introduction to Expert IoT Course,Easy,"IoT, internet of things, smart devices",https://pluralsight.com/iot/expert
MA0018,Beginner Machine Learning Course,Udemy,Beginner,Introduction to Beginner Machine Learning Course,Easy,"machine learning, AI, artificial intelligence",https://udemy.com/machine-learning/beginner
CY0019,Beginner Cybersecurity Course,Coursera,Beginner,Introduction to Beginner Cybersecurity Course,Easy,"cybersecurity, information security, encryption",https://coursera.com/cybersecurity/beginner
SO0020,Intermediate Software Engineering Course,Coursera,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://coursera.com/software-engineering/intermediate
DA0021,Beginner Data Science Course,Coursera,Beginner,Intermediate Concepts in Beginner Data Science Course,Medium,"data science, big data, analysis, statistics",https://coursera.com/data-science/beginner
IO0022,Intermediate IoT Course,Udemy,Intermediate,Intermediate Concepts in Intermediate IoT Course,Medium,"IoT, internet of things, smart devices",https://udemy.com/iot/intermediate
MA0023,Intermediate Machine Learning Course,Google Developers,Intermediate,Advanced Topics in Intermediate Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://googledevelopers.com/machine-learning/intermediate
AI0024,Intermediate AI Course,Udemy,Intermediate,Advanced Topics in Intermediate AI Course,Hard,"AI, deep learning, machine learning",https://udemy.com/ai/intermediate
IO0025,Beginner IoT Course,Coursera,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://coursera.com/iot/beginner
DE0026,Expert DevOps Course,Coursera,Expert,Intermediate Concepts in Expert DevOps Course,Medium,"devops, automation, CI/CD, infrastructure",https://coursera.com/devops/expert
MA0027,Expert Machine Learning Course,Udemy,Expert,Advanced Topics in Expert Machine Learning Course,Hard,"machine learning, AI, artificial intelligence",https://udemy.com/machine-learning/expert
IO0028,Expert IoT Course,Google Developers,Expert,Intermediate Concepts in Expert IoT Course,Medium,"IoT, internet of things, smart devices",https://googledevelopers.com/iot/expert
BL0029,Beginner Blockchain Course,LinkedIn Learning,Beginner,Intermediate Concepts in Beginner Blockchain Course,Medium,"blockchain, cryptocurrency, smart contracts",https://linkedinlearning.com/blockchain/beginner
SO0030,Expert Software Engineering Course,Udemy,Expert,Advanced Topics in Expert Software Engineering Course,Hard,"software engineering, programming, coding, development",https://udemy.com/software-engineering/expert
CY0031,Expert Cybersecurity Course,edX,Expert,Introduction to Expert Cybersecurity Course,Easy,"cybersecurity, information security, encryption",https://edx.com/cybersecurity/expert
SO0032,Intermediate Software Engineering Course,Udemy,Intermediate,Advanced Topics in Intermediate Software Engineering Course,Hard,"software engineering, programming, coding, development",https://udemy.com/software-engineering/intermediate
IO0033,Expert IoT Course,Google Developers,Expert,Intermediate Concepts in Expert IoT Course,Medium,"IoT, internet of things, smart devices",https://googledevelopers.com/iot/expert
CL0034,Expert Cloud Computing Course,LinkedIn Learning,Expert,Advanced Topics in Expert Cloud Computing Course,Hard,"cloud, AWS, Azure, GCP",https://linkedinlearning.com/cloud-computing/expert
CL0035,Intermediate Cloud Computing Course,LinkedIn Learning,Intermediate,Intermediate Concepts in Intermediate Cloud Computing Course,Medium,"cloud, AWS, Azure, GCP",https://linkedinlearning.com/cloud-computing/intermediate
CY0036,Beginner Cybersecurity Course,Udemy,Beginner,Introduction to Beginner Cybersecurity Course,Easy,"cybersecurity, information security, encryption",https://udemy.com/cybersecurity/beginner
DA0037,Beginner Data Science Course,Pluralsight,Beginner,Introduction to Beginner Data Science Course,Easy,"data science, big data, analysis, statistics",https://pluralsight.com/data-science/beginner
UI0038,Beginner UI/UX Design Course,LinkedIn Learning,Beginner,Advanced Topics in Beginner UI/UX Design Course,Hard,"UI, UX, design, user experience, user interface",https://linkedinlearning.com/ui/ux-design/beginner
IO0039,Beginner IoT Course,Pluralsight,Beginner,Introduction to Beginner IoT Course,Easy,"IoT, internet of things, smart devices",https://pluralsight.com/iot/beginner
SO0040,Expert Software Engineering Course,Google Developers,Expert,Advanced Topics in Expert Software Engineering Course,Hard,"software engineering, programming, coding, development",https://googledevelopers.com/software-engineering/expert
AI0041,Beginner AI Course,Google Developers,Beginner,Advanced Topics in Beginner AI Course,Hard,"AI, deep learning, machine learning",https://googledevelopers.com/ai/beginner
SO0042,Beginner Software Engineering Course,Pluralsight,Beginner,Introduction to Beginner Software Engineering Course,Easy,"software engineering, programming, coding, development",https://pluralsight.com/software-engineering/beginner
DA0043,Beginner Data Science Course,edX,Beginner,Advanced Topics in Beginner Data Science Course,Hard,"data science, big data, analysis, statistics",https://edx.com/data-science/beginner
SO0044,Expert Software Engineering Course,edX,Expert,Introduction to Expert Software Engineering Course,Easy,"software engineering, programming, coding, development",https://edx.com/software-engineering/expert
AI0045,Expert AI Course,Google Developers,Expert,Intermediate Concepts in Expert AI Course,Medium,"AI, deep learning, machine learning",https://googledevelopers.com/ai/expert
AI0046,Intermediate AI Course,Google Developers,Intermediate,Introduction to Intermediate AI Course,Easy,"AI, deep learning, machine learning",https://googledevelopers.com/ai/intermediate
UI0047,Expert UI/UX Design Course,LinkedIn Learning,Expert,Advanced Topics in Expert UI/UX Design Course,Hard,"UI, UX, design, user experience, user interface",https://linkedinlearning.com/ui/ux-design/expert
